JobName,NNodes,MaxVMSize,AveVMSize,MaxVMSizeNode,MaxVMSizeTask,MaxRSS,MaxRSSNode,MaxRSSTask,AveCPU,CPUTime,CPUTimeRAW,Elapsed,Start,End,State,
batch,1,499428K,499428K,sdumont3186,0,8236K,sdumont3186,0,00:00:00,03:08:24,11304,00:07:51,2022-11-18T12:50:47,2022-11-18T12:58:38,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767172K,1767172K,sdumont3186,0,47668K,sdumont3186,0,02:59:42,03:08:24,11304,00:07:51,2022-11-18T12:50:47,2022-11-18T12:58:38,COMPLETED,
1000bs-24th-aminoacido,1,,,,,,,,,03:00:24,10824,00:07:31,2022-11-18T12:50:53,2022-11-18T12:58:24,COMPLETED,
batch,1,499428K,499428K,sdumont3020,0,8232K,sdumont3020,0,00:00:00,03:00:24,10824,00:07:31,2022-11-18T12:50:53,2022-11-18T12:58:24,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767172K,1767172K,sdumont3020,0,47672K,sdumont3020,0,02:59:43,03:00:24,10824,00:07:31,2022-11-18T12:50:53,2022-11-18T12:58:24,COMPLETED,
1000bs-24th-aminoacido,1,,,,,,,,,03:05:36,11136,00:07:44,2022-11-18T12:51:33,2022-11-18T12:59:17,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8244K,sdumont3180,0,00:00:00,03:05:36,11136,00:07:44,2022-11-18T12:51:33,2022-11-18T12:59:17,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767168K,1767168K,sdumont3180,0,47676K,sdumont3180,0,02:59:32,03:05:36,11136,00:07:44,2022-11-18T12:51:33,2022-11-18T12:59:17,COMPLETED,
1000bs-24th-aminoacido,1,,,,,,,,,03:07:12,11232,00:07:48,2022-11-18T12:58:15,2022-11-18T13:06:03,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8232K,sdumont3184,0,00:00:00,03:07:12,11232,00:07:48,2022-11-18T12:58:15,2022-11-18T13:06:03,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767172K,1767172K,sdumont3184,0,47680K,sdumont3184,0,02:59:08,03:06:48,11208,00:07:47,2022-11-18T12:58:16,2022-11-18T13:06:03,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,06:07:12,22032,00:15:18,2022-11-18T12:58:24,2022-11-18T13:13:42,COMPLETED,
batch,1,499428K,499428K,sdumont3020,0,8240K,sdumont3020,0,00:00:00,06:07:12,22032,00:15:18,2022-11-18T12:58:24,2022-11-18T13:13:42,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767180K,1767180K,sdumont3020,0,47684K,sdumont3020,0,05:59:36,06:07:12,22032,00:15:18,2022-11-18T12:58:24,2022-11-18T13:13:42,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,06:16:00,22560,00:15:40,2022-11-18T12:58:38,2022-11-18T13:14:18,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8224K,sdumont3185,0,00:00:00,06:16:00,22560,00:15:40,2022-11-18T12:58:38,2022-11-18T13:14:18,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767180K,1767180K,sdumont3185,0,47684K,sdumont3185,0,06:11:35,06:15:36,22536,00:15:39,2022-11-18T12:58:39,2022-11-18T13:14:18,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,05:58:48,21528,00:14:57,2022-11-18T12:59:18,2022-11-18T13:14:15,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8232K,sdumont3180,0,00:00:00,05:58:48,21528,00:14:57,2022-11-18T12:59:18,2022-11-18T13:14:15,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767180K,1767180K,sdumont3180,0,47688K,sdumont3180,0,05:47:36,05:58:48,21528,00:14:57,2022-11-18T12:59:18,2022-11-18T13:14:15,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,06:02:24,21744,00:15:06,2022-11-18T13:06:03,2022-11-18T13:21:09,COMPLETED,
batch,1,499428K,499428K,sdumont3184,0,8236K,sdumont3184,0,00:00:00,06:02:24,21744,00:15:06,2022-11-18T13:06:03,2022-11-18T13:21:09,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767180K,1767180K,sdumont3184,0,47700K,sdumont3184,0,05:59:09,06:02:00,21720,00:15:05,2022-11-18T13:06:04,2022-11-18T13:21:09,COMPLETED,
2000bs-24th-aminoacido,1,,,,,,,,,06:15:36,22536,00:15:39,2022-11-18T13:13:42,2022-11-18T13:29:21,COMPLETED,
batch,1,499428K,499428K,sdumont3020,0,8232K,sdumont3020,0,00:00:00,06:15:36,22536,00:15:39,2022-11-18T13:13:42,2022-11-18T13:29:21,COMPLETED,
raxmlHPC-HYBRID-AVX,1,1767180K,1767180K,sdumont3020,0,47680K,sdumont3020,0,06:11:11,06:15:12,22512,00:15:38,2022-11-18T13:13:43,2022-11-18T13:29:21,COMPLETED,
10bs-12th-aminoacido,1,,,,,,,,,00:02:48,168,00:00:07,2022-11-18T13:14:15,2022-11-18T13:14:22,COMPLETED,
batch,1,235424K,235424K,sdumont3180,0,2532K,sdumont3180,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:14:15,2022-11-18T13:14:22,COMPLETED,
raxmlHPC-HYBRID-AVX,1,303716K,303716K,sdumont3180,0,2284K,sdumont3180,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T13:14:16,2022-11-18T13:14:22,COMPLETED,
10bs-12th-aminoacido,1,,,,,,,,,00:02:48,168,00:00:07,2022-11-18T13:14:18,2022-11-18T13:14:25,COMPLETED,
batch,1,300960K,300960K,sdumont3185,0,2544K,sdumont3185,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:14:18,2022-11-18T13:14:25,COMPLETED,
raxmlHPC-HYBRID-AVX,1,303716K,303716K,sdumont3185,0,2280K,sdumont3185,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T13:14:19,2022-11-18T13:14:25,COMPLETED,
10bs-12th-aminoacido,1,,,,,,,,,00:02:48,168,00:00:07,2022-11-18T13:14:22,2022-11-18T13:14:29,COMPLETED,
batch,1,235424K,235424K,sdumont3180,0,2536K,sdumont3180,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:14:22,2022-11-18T13:14:29,COMPLETED,
raxmlHPC-HYBRID-AVX,1,369252K,369252K,sdumont3180,0,2300K,sdumont3180,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T13:14:23,2022-11-18T13:14:29,COMPLETED,
10bs-12th-aminoacido,1,,,,,,,,,00:02:48,168,00:00:07,2022-11-18T13:14:25,2022-11-18T13:14:32,COMPLETED,
batch,1,300960K,300960K,sdumont3185,0,2544K,sdumont3185,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:14:25,2022-11-18T13:14:32,COMPLETED,
raxmlHPC-HYBRID-AVX,1,369252K,369252K,sdumont3185,0,2292K,sdumont3185,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T13:14:25,2022-11-18T13:14:31,COMPLETED,
10bs-12th-aminoacido,1,,,,,,,,,00:02:48,168,00:00:07,2022-11-18T13:14:29,2022-11-18T13:14:36,COMPLETED,
batch,1,235424K,235424K,sdumont3180,0,2528K,sdumont3180,0,00:00:00,00:02:48,168,00:00:07,2022-11-18T13:14:29,2022-11-18T13:14:36,COMPLETED,
raxmlHPC-HYBRID-AVX,1,369252K,369252K,sdumont3180,0,2296K,sdumont3180,0,00:00:00,00:02:24,144,00:00:06,2022-11-18T13:14:30,2022-11-18T13:14:36,COMPLETED,
100bs-12th-aminoacido,1,,,,,,,,,00:21:12,1272,00:00:53,2022-11-18T13:14:32,2022-11-18T13:15:25,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8232K,sdumont3185,0,00:00:00,00:21:12,1272,00:00:53,2022-11-18T13:14:32,2022-11-18T13:15:25,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956128K,956128K,sdumont3185,0,46280K,sdumont3185,0,00:05:53,00:20:48,1248,00:00:52,2022-11-18T13:14:33,2022-11-18T13:15:25,COMPLETED,
100bs-12th-aminoacido,1,,,,,,,,,00:21:12,1272,00:00:53,2022-11-18T13:14:36,2022-11-18T13:15:29,COMPLETED,
batch,1,499428K,499428K,sdumont3180,0,8232K,sdumont3180,0,00:00:00,00:21:12,1272,00:00:53,2022-11-18T13:14:36,2022-11-18T13:15:29,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956128K,956128K,sdumont3180,0,46276K,sdumont3180,0,00:05:53,00:20:48,1248,00:00:52,2022-11-18T13:14:37,2022-11-18T13:15:29,COMPLETED,
100bs-12th-aminoacido,1,,,,,,,,,00:20:48,1248,00:00:52,2022-11-18T13:15:25,2022-11-18T13:16:17,COMPLETED,
batch,1,499428K,499428K,sdumont3185,0,8224K,sdumont3185,0,00:00:00,00:20:48,1248,00:00:52,2022-11-18T13:15:25,2022-11-18T13:16:17,COMPLETED,
raxmlHPC-HYBRID-AVX,1,956132K,956132K,sdumont3185,0,46292K,sdumont3185,0,00:05:44,00:20:48,1248,00:00:52,2022-11-18T13:15:25,2022-11-18T13:16:17,COMPLETED,
100bs-12th-aminoacido,1,,,,,,,,,00:21:12,1272,00:00:53,2022-11-18T13:15:29,2022-11-18T13:16:22,COMPLETED,
